Year	State	ICD-10 113 Cause	Deaths
2013	Indiana	"#Legal intervention (Y35,Y89.0)"	15
2013	Iowa	Accidental discharge of firearms (W32-W34)	0
2013	Iowa	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	221
2013	Iowa	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	24
2013	Iowa	"#Legal intervention (Y35,Y89.0)"	0
2013	Kansas	Accidental discharge of firearms (W32-W34)	0
2013	Kansas	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	241
2013	Kansas	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	79
2013	Kansas	"#Legal intervention (Y35,Y89.0)"	0
2013	Kentucky	Accidental discharge of firearms (W32-W34)	21
2013	Kentucky	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	453
2013	Kentucky	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	138
2013	Kentucky	"#Legal intervention (Y35,Y89.0)"	0
2013	Louisiana	Accidental discharge of firearms (W32-W34)	19
2013	Louisiana	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	408
2013	Louisiana	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	446
2013	Louisiana	"#Legal intervention (Y35,Y89.0)"	0
2013	Maine	Accidental discharge of firearms (W32-W34)	0
2013	Maine	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	137
2013	Maine	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	13
2013	Maine	"#Legal intervention (Y35,Y89.0)"	0
2013	Maryland	Accidental discharge of firearms (W32-W34)	0
2013	Maryland	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	257
2013	Maryland	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	299
2013	Maryland	"#Legal intervention (Y35,Y89.0)"	14
2013	Massachusetts	Accidental discharge of firearms (W32-W34)	0
2013	Massachusetts	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	112
2013	Massachusetts	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	84
2013	Massachusetts	"#Legal intervention (Y35,Y89.0)"	13
2013	Michigan	Accidental discharge of firearms (W32-W34)	10
2013	Michigan	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	674
2013	Michigan	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	493
2013	Michigan	"#Legal intervention (Y35,Y89.0)"	0
2013	Minnesota	Accidental discharge of firearms (W32-W34)	0
2013	Minnesota	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	339
2013	Minnesota	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	76
2013	Minnesota	"#Legal intervention (Y35,Y89.0)"	0
2013	Mississippi	Accidental discharge of firearms (W32-W34)	17
2013	Mississippi	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	279
2013	Mississippi	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	215
2013	Mississippi	"#Legal intervention (Y35,Y89.0)"	0
2013	Missouri	Accidental discharge of firearms (W32-W34)	19
2013	Missouri	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	556
2013	Missouri	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	293
2013	Missouri	"#Legal intervention (Y35,Y89.0)"	0
2013	Montana	Accidental discharge of firearms (W32-W34)	0
2013	Montana	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	147
2013	Montana	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	14
2013	Montana	"#Legal intervention (Y35,Y89.0)"	0
2013	Nebraska	Accidental discharge of firearms (W32-W34)	0
2013	Nebraska	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	111
2013	Nebraska	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	51
2013	Nebraska	"#Legal intervention (Y35,Y89.0)"	0
2013	Nevada	Accidental discharge of firearms (W32-W34)	0
2013	Nevada	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	292
2013	Nevada	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	88
2013	Nevada	"#Legal intervention (Y35,Y89.0)"	0
2013	New Hampshire	Accidental discharge of firearms (W32-W34)	0
2013	New Hampshire	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	81
2013	New Hampshire	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2013	New Hampshire	"#Legal intervention (Y35,Y89.0)"	0
2013	New Jersey	Accidental discharge of firearms (W32-W34)	0
2013	New Jersey	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	194
2013	New Jersey	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	298
2013	New Jersey	"#Legal intervention (Y35,Y89.0)"	0
2013	New Mexico	Accidental discharge of firearms (W32-W34)	0
2013	New Mexico	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	222
2013	New Mexico	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	82
2013	New Mexico	"#Legal intervention (Y35,Y89.0)"	14
2013	New York	Accidental discharge of firearms (W32-W34)	0
2013	New York	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	465
2013	New York	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	380
2013	New York	"#Legal intervention (Y35,Y89.0)"	13
2013	North Carolina	Accidental discharge of firearms (W32-W34)	18
2013	North Carolina	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	771
2013	North Carolina	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	412
2013	North Carolina	"#Legal intervention (Y35,Y89.0)"	0
2013	North Dakota	Accidental discharge of firearms (W32-W34)	0
2013	North Dakota	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	76
2013	North Dakota	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2013	North Dakota	"#Legal intervention (Y35,Y89.0)"	0
2013	Ohio	Accidental discharge of firearms (W32-W34)	21
2013	Ohio	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	800
2013	Ohio	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	447
2013	Ohio	"#Legal intervention (Y35,Y89.0)"	13
2013	Oklahoma	Accidental discharge of firearms (W32-W34)	15
2013	Oklahoma	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	433
2013	Oklahoma	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	178
2013	Oklahoma	"#Legal intervention (Y35,Y89.0)"	0
2013	Oregon	Accidental discharge of firearms (W32-W34)	0
2013	Oregon	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	389
2013	Oregon	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	54
2013	Oregon	"#Legal intervention (Y35,Y89.0)"	0
2013	Pennsylvania	Accidental discharge of firearms (W32-W34)	22
2013	Pennsylvania	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	918
2013	Pennsylvania	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	486
2013	Pennsylvania	"#Legal intervention (Y35,Y89.0)"	17
2013	Rhode Island	Accidental discharge of firearms (W32-W34)	0
2013	Rhode Island	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	34
2013	Rhode Island	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	18
2013	Rhode Island	"#Legal intervention (Y35,Y89.0)"	0
2013	South Carolina	Accidental discharge of firearms (W32-W34)	15
2013	South Carolina	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	470
2013	South Carolina	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	244
2013	South Carolina	"#Legal intervention (Y35,Y89.0)"	10
2013	South Dakota	Accidental discharge of firearms (W32-W34)	0
2013	South Dakota	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	71
2013	South Dakota	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2013	South Dakota	"#Legal intervention (Y35,Y89.0)"	0
2013	Tennessee	Accidental discharge of firearms (W32-W34)	19
2013	Tennessee	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	676
2013	Tennessee	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	309
2013	Tennessee	"#Legal intervention (Y35,Y89.0)"	0
2013	Texas	Accidental discharge of firearms (W32-W34)	38
2013	Texas	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	1780
2013	Texas	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	912
2013	Texas	"#Legal intervention (Y35,Y89.0)"	28
2013	Utah	Accidental discharge of firearms (W32-W34)	0
2013	Utah	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	295
2013	Utah	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	33
2013	Utah	"#Legal intervention (Y35,Y89.0)"	0
2013	Vermont	Accidental discharge of firearms (W32-W34)	0
2013	Vermont	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	59
2013	Vermont	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2013	Vermont	"#Legal intervention (Y35,Y89.0)"	0
2013	Virginia	Accidental discharge of firearms (W32-W34)	10
2013	Virginia	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	601
2013	Virginia	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	233
2013	Virginia	"#Legal intervention (Y35,Y89.0)"	0
2013	Washington	Accidental discharge of firearms (W32-W34)	11
2013	Washington	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	483
2013	Washington	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	116
2013	Washington	"#Legal intervention (Y35,Y89.0)"	19
2013	West Virginia	Accidental discharge of firearms (W32-W34)	0
2013	West Virginia	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	225
2013	West Virginia	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	43
2013	West Virginia	"#Legal intervention (Y35,Y89.0)"	0
2013	Wisconsin	Accidental discharge of firearms (W32-W34)	10
2013	Wisconsin	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	437
2013	Wisconsin	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	115
2013	Wisconsin	"#Legal intervention (Y35,Y89.0)"	0
2013	Wyoming	Accidental discharge of firearms (W32-W34)	0
2013	Wyoming	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	89
2013	Wyoming	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2013	Wyoming	"#Legal intervention (Y35,Y89.0)"	0
2014	Alabama	Accidental discharge of firearms (W32-W34)	29
2014	Alabama	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	479
2014	Alabama	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	292
2014	Alabama	"#Legal intervention (Y35,Y89.0)"	0
2014	Alaska	Accidental discharge of firearms (W32-W34)	0
2014	Alaska	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	115
2014	Alaska	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	21
2014	Alaska	"#Legal intervention (Y35,Y89.0)"	0
2014	Arizona	Accidental discharge of firearms (W32-W34)	0
2014	Arizona	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	683
2014	Arizona	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	212
2014	Arizona	"#Legal intervention (Y35,Y89.0)"	12
2014	Arkansas	Accidental discharge of firearms (W32-W34)	0
2014	Arkansas	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	323
2014	Arkansas	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	161
2014	Arkansas	"#Legal intervention (Y35,Y89.0)"	0
2014	California	Accidental discharge of firearms (W32-W34)	23
2014	California	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	1582
2014	California	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	1233
2014	California	"#Legal intervention (Y35,Y89.0)"	89
2014	Colorado	Accidental discharge of firearms (W32-W34)	0
2014	Colorado	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	539
2014	Colorado	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	102
2014	Colorado	"#Legal intervention (Y35,Y89.0)"	10
2014	Connecticut	Accidental discharge of firearms (W32-W34)	0
2014	Connecticut	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	125
2014	Connecticut	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	58
2014	Connecticut	"#Legal intervention (Y35,Y89.0)"	0
2014	Delaware	Accidental discharge of firearms (W32-W34)	0
2014	Delaware	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	59
2014	Delaware	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	38
2014	Delaware	"#Legal intervention (Y35,Y89.0)"	0
2014	Florida	Accidental discharge of firearms (W32-W34)	29
2014	Florida	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	1538
2014	Florida	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	818
2014	Florida	"#Legal intervention (Y35,Y89.0)"	23
2014	Georgia	Accidental discharge of firearms (W32-W34)	29
2014	Georgia	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	841
2014	Georgia	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	506
2014	Georgia	"#Legal intervention (Y35,Y89.0)"	10
2014	Hawaii	Accidental discharge of firearms (W32-W34)	0
2014	Hawaii	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	33
2014	Hawaii	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2014	Hawaii	"#Legal intervention (Y35,Y89.0)"	0
2014	Idaho	Accidental discharge of firearms (W32-W34)	0
2014	Idaho	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	182
2014	Idaho	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	21
2014	Idaho	"#Legal intervention (Y35,Y89.0)"	0
2014	Illinois	Accidental discharge of firearms (W32-W34)	0
2014	Illinois	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	533
2014	Illinois	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	614
2014	Illinois	"#Legal intervention (Y35,Y89.0)"	10
2014	Indiana	Accidental discharge of firearms (W32-W34)	15
2014	Indiana	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	528
2014	Indiana	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	259
2014	Indiana	"#Legal intervention (Y35,Y89.0)"	0
2014	Iowa	Accidental discharge of firearms (W32-W34)	0
2014	Iowa	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	194
2014	Iowa	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	36
2014	Iowa	"#Legal intervention (Y35,Y89.0)"	0
2014	Kansas	Accidental discharge of firearms (W32-W34)	0
2014	Kansas	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	238
2014	Kansas	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	73
2014	Kansas	"#Legal intervention (Y35,Y89.0)"	10
2014	Kentucky	Accidental discharge of firearms (W32-W34)	13
2014	Kentucky	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	470
2014	Kentucky	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	138
2014	Kentucky	"#Legal intervention (Y35,Y89.0)"	0
2014	Louisiana	Accidental discharge of firearms (W32-W34)	19
2014	Louisiana	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	444
2014	Louisiana	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	421
2014	Louisiana	"#Legal intervention (Y35,Y89.0)"	0
2014	Maine	Accidental discharge of firearms (W32-W34)	0
2014	Maine	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	116
2014	Maine	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	10
2014	Maine	"#Legal intervention (Y35,Y89.0)"	0
2014	Maryland	Accidental discharge of firearms (W32-W34)	0
2014	Maryland	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	277
2014	Maryland	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	249
2014	Maryland	"#Legal intervention (Y35,Y89.0)"	17
2014	Massachusetts	Accidental discharge of firearms (W32-W34)	0
2014	Massachusetts	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	130
2014	Massachusetts	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	90
2014	Massachusetts	"#Legal intervention (Y35,Y89.0)"	0
2014	Michigan	Accidental discharge of firearms (W32-W34)	0
2014	Michigan	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	671
2014	Michigan	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	411
2014	Michigan	"#Legal intervention (Y35,Y89.0)"	0
2014	Minnesota	Accidental discharge of firearms (W32-W34)	0
2014	Minnesota	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	308
2014	Minnesota	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	59
2014	Minnesota	"#Legal intervention (Y35,Y89.0)"	0
2014	Mississippi	Accidental discharge of firearms (W32-W34)	17
2014	Mississippi	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	251
2014	Mississippi	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	259
2014	Mississippi	"#Legal intervention (Y35,Y89.0)"	0
2014	Missouri	Accidental discharge of firearms (W32-W34)	14
2014	Missouri	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	588
2014	Missouri	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	327
2014	Missouri	"#Legal intervention (Y35,Y89.0)"	10
2014	Montana	Accidental discharge of firearms (W32-W34)	0
2014	Montana	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	149
2014	Montana	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	14
2014	Montana	"#Legal intervention (Y35,Y89.0)"	0
2014	Nebraska	Accidental discharge of firearms (W32-W34)	0
2014	Nebraska	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	133
2014	Nebraska	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	39
2014	Nebraska	"#Legal intervention (Y35,Y89.0)"	0
2014	Nevada	Accidental discharge of firearms (W32-W34)	0
2014	Nevada	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	309
2014	Nevada	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	106
2014	Nevada	"#Legal intervention (Y35,Y89.0)"	0
2014	New Hampshire	Accidental discharge of firearms (W32-W34)	0
2014	New Hampshire	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	110
2014	New Hampshire	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2014	New Hampshire	"#Legal intervention (Y35,Y89.0)"	0
2014	New Jersey	Accidental discharge of firearms (W32-W34)	0
2014	New Jersey	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	194
2014	New Jersey	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	265
2014	New Jersey	"#Legal intervention (Y35,Y89.0)"	0
2014	New Mexico	Accidental discharge of firearms (W32-W34)	0
2014	New Mexico	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	244
2014	New Mexico	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	76
2014	New Mexico	"#Legal intervention (Y35,Y89.0)"	14
2014	New York	Accidental discharge of firearms (W32-W34)	10
2014	New York	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	474
2014	New York	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	372
2014	New York	"#Legal intervention (Y35,Y89.0)"	13
2014	North Carolina	Accidental discharge of firearms (W32-W34)	39
2014	North Carolina	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	760
2014	North Carolina	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	391
2014	North Carolina	"#Legal intervention (Y35,Y89.0)"	10
2014	North Dakota	Accidental discharge of firearms (W32-W34)	0
2014	North Dakota	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	85
2014	North Dakota	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2014	North Dakota	"#Legal intervention (Y35,Y89.0)"	0
2014	Ohio	Accidental discharge of firearms (W32-W34)	18
2014	Ohio	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	744
2014	Ohio	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	422
2014	Ohio	"#Legal intervention (Y35,Y89.0)"	17
2014	Oklahoma	Accidental discharge of firearms (W32-W34)	15
2014	Oklahoma	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	435
2014	Oklahoma	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	157
2014	Oklahoma	"#Legal intervention (Y35,Y89.0)"	0
2014	Oregon	Accidental discharge of firearms (W32-W34)	0
2014	Oregon	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	422
2014	Oregon	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	53
2014	Oregon	"#Legal intervention (Y35,Y89.0)"	16
2014	Pennsylvania	Accidental discharge of firearms (W32-W34)	14
2014	Pennsylvania	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	897
2014	Pennsylvania	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	466
2014	Pennsylvania	"#Legal intervention (Y35,Y89.0)"	11
2014	Rhode Island	Accidental discharge of firearms (W32-W34)	0
2014	Rhode Island	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	20
2014	Rhode Island	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	13
2014	Rhode Island	"#Legal intervention (Y35,Y89.0)"	0
2014	South Carolina	Accidental discharge of firearms (W32-W34)	13
2014	South Carolina	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	479
2014	South Carolina	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	266
2014	South Carolina	"#Legal intervention (Y35,Y89.0)"	0
2014	South Dakota	Accidental discharge of firearms (W32-W34)	0
2014	South Dakota	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	76
2014	South Dakota	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2014	South Dakota	"#Legal intervention (Y35,Y89.0)"	0
2014	Tennessee	Accidental discharge of firearms (W32-W34)	10
2014	Tennessee	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	644
2014	Tennessee	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	315
2014	Tennessee	"#Legal intervention (Y35,Y89.0)"	0
2014	Texas	Accidental discharge of firearms (W32-W34)	40
2014	Texas	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	1789
2014	Texas	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	965
2014	Texas	"#Legal intervention (Y35,Y89.0)"	24
2014	Utah	Accidental discharge of firearms (W32-W34)	0
2014	Utah	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	278
2014	Utah	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	36
2014	Utah	"#Legal intervention (Y35,Y89.0)"	14
2014	Vermont	Accidental discharge of firearms (W32-W34)	0
2014	Vermont	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	59
2014	Vermont	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	0
2014	Vermont	"#Legal intervention (Y35,Y89.0)"	0
2014	Virginia	Accidental discharge of firearms (W32-W34)	12
2014	Virginia	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	626
2014	Virginia	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	235
2014	Virginia	"#Legal intervention (Y35,Y89.0)"	12
2014	Washington	Accidental discharge of firearms (W32-W34)	0
2014	Washington	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	551
2014	Washington	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	120
2014	Washington	"#Legal intervention (Y35,Y89.0)"	22
2014	West Virginia	Accidental discharge of firearms (W32-W34)	0
2014	West Virginia	Intentional self-harm (suicide) by discharge of firearms (X72-X74)	217
2014	West Virginia	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	58
