,Incident Date,State,City Or County,Address,# Killed,# Injured
34,"November 6, 2016",New York,Elma,Dorris Drive,1,0
35,"November 6, 2016",Georgia,Atlanta,1800 block of Charleston Avenue,1,0
36,"November 5, 2016",North Dakota,Dickinson,1700 block of Abraham Parkway,1,0
37,"November 4, 2016",Kansas,Kansas City,7569 State Avenue,1,0
38,"November 4, 2016",Tennessee,Knoxville,6500 block of Archer Road,1,0
39,"November 4, 2016",Missouri,Joplin,4300 block of Connecticut Avenue,1,0
40,"November 3, 2016",Alabama,Eutaw,Wilson Street,1,0
41,"October 31, 2016",California,Fresno,Clinton and Winery Avenues,1,0
42,"October 30, 2016",Pennsylvania,Norristown,600 block of George Street,1,0
43,"October 29, 2016",Indiana,Indianapolis,6600 block of Little Leaf Place,1,0
44,"October 29, 2016",Ohio,Toledo,123 Rockingham Street,1,0
45,"October 29, 2016",Ohio,Portsmouth,603 Adams St,1,0
46,"October 29, 2016",Alabama,Muscle Shoals,305 W Edison Ave,1,0
47,"October 27, 2016",Michigan,Battle Creek,1st block of West Fountain Street,1,0
48,"October 27, 2016",Missouri,Kansas City,18th and Topping,1,0
49,"October 24, 2016",South Carolina,Harleyville,Cricket Drive,1,0
50,"October 22, 2016",Louisiana,Larose,East Avenue C,1,0
51,"October 22, 2016",Georgia,Toombs (county),998 Johnson Corner Road,1,0
52,"October 21, 2016",Connecticut,Bristol,240 Woodland Street,1,0
53,"October 20, 2016",California,Stockton,8926 Ledgewood Avenue,1,0
54,"October 18, 2016",Mississippi,Pittsboro,County Road 300,1,0
55,"October 17, 2016",Oregon,Albany,2530 SE Pacific Boulevard,1,0
56,"October 16, 2016",Washington,Yacolt,34900 block of NE Thompson Road,1,0
57,"October 16, 2016",North Dakota,Bismarck,106th St SE,1,0
58,"October 15, 2016",Missouri,Forsyth,665 Skyline Drive,1,0
59,"October 15, 2016",Missouri,Caulfield,2810 Cloud 9 Drive,1,0
60,"October 15, 2016",Virginia,Sandston,Treva Road,1,0
61,"October 13, 2016",Illinois,Waukegan,1100 block of Greenfield Avenue,1,0
62,"October 13, 2016",Louisiana,Baton Rouge,4138 East Brookstown Drive,1,0
63,"October 12, 2016",South Carolina,Myrtle Beach,Spivey Drive and King Avenue,1,0
64,"October 11, 2016",Georgia,Acworth,4800 block of Ryan Road,1,0
65,"October 9, 2016",South Carolina,Aynor,Garner Road,1,0
66,"October 9, 2016",South Dakota,Sioux Falls,North 1st Avenue,1,0
67,"October 7, 2016",Texas,Houston,Long Point Road and Oak Tree Drive,1,0
68,"October 7, 2016",Georgia,Richmond (county),Done Roven Road,1,0
69,"October 5, 2016",Missouri,Lees Summit,800 block of Northeast Magellan Ave,1,0
70,"October 4, 2016",Virginia,Virginia Beach,1100 block of Mondrian Loop,1,0
71,"October 3, 2016",North Dakota,Sanborn,,1,0
72,"October 2, 2016",Michigan,Iron River,,1,0
73,"October 1, 2016",Georgia,Mcdonough,961 King Mill Road,1,0
74,"September 30, 2016",Pennsylvania,York,200 block of Chestnut Street,1,0
75,"September 30, 2016",Georgia,Atlanta,Roswell Street  SW,1,0
76,"September 30, 2016",Wisconsin,Milwaukee,2100 block of North 15th Street,1,0
77,"September 29, 2016",Texas,Fort Worth,3712 North Elm Street,1,0
78,"September 29, 2016",Pennsylvania,Altoona,1600 block on 2nd Avenue,1,0
79,"September 28, 2016",Arizona,Avondale,525 E Harrison Dr,1,0
80,"September 28, 2016",Kentucky,Danville,Tuggle Road,1,0
81,"September 27, 2016",Iowa,Cedar Rapids,800 block of 15th Street SE,1,0
82,"September 26, 2016",California,El Dorado (county),10500 block of Wentworth Springs Road,1,0
83,"September 26, 2016",Louisiana,Monroe,McCall Street,1,0
84,"September 25, 2016",Georgia,Atlanta,1073 Piedmont Ave,1,0
85,"September 24, 2016",Texas,Houston,4439 Pease Street,1,0
86,"September 22, 2016",Maryland,Bladensburg,4200 block of 58th Avenue,1,0
87,"September 19, 2016",Arkansas,Buckner,1100 block of Lafayette County Road 41,1,0
88,"September 18, 2016",Florida,Palm Beach Gardens (Riviera Beach),1200 block of West 32nd Street,1,0
89,"September 18, 2016",Florida,Tampa,6727 S. Lois Ave.,1,0
90,"September 18, 2016",Iowa,Lake View,Highways 175 and 71,1,0
91,"September 17, 2016",Alaska,Juneau,3000 block of Mountainwood Circle,1,0
92,"September 17, 2016",North Carolina,Edenton,725 Martin Luther King Jr Avenue,1,0
93,"September 14, 2016",Texas,Bexar (county),,1,0
94,"September 13, 2016",Texas,Azle,400 block of Rider Lane,1,0
95,"September 12, 2016",Pennsylvania,Quakertown,2100 block of Kumry Road,1,0
96,"September 12, 2016",Michigan,Missaukee (county),Blue Road and South Jeffs Road,1,0
97,"September 11, 2016",Louisiana,Baton Rouge,Avenue B,1,0
98,"September 11, 2016",Kentucky,Louisville,1600 block of Brashear Drive,1,0
99,"September 8, 2016",California,Rosamond,2600 block of 25th Street West,1,0
100,"September 5, 2016",Texas,Rockdale,900 block of CR 319,1,0
101,"September 5, 2016",Texas,San Benito,200 block of Los Ranchitos,1,0
102,"September 5, 2016",Michigan,Kalamazoo,1500 block of Clinton Avenue,2,0
103,"September 2, 2016",Florida,Cocoa Beach,150 Minutemen Causeway,1,0
104,"September 1, 2016",Nevada,Las Vegas,947 West Lake Mead Boulevard,1,0
105,"September 1, 2016",South Carolina,Columbia,228 Meredith Square,1,2
106,"August 31, 2016",Georgia,Statesboro,1000 block of Planters Lane,1,0
107,"August 30, 2016",Wisconsin,Chetek,Leonard Street,1,0
108,"August 28, 2016",Kentucky,Louisville,3015 Penway Ave,1,0
109,"August 28, 2016",Texas,Ivanhoe,,1,0
110,"August 27, 2016",Texas,San Benito,500 block of Doherty Street,1,0
111,"August 25, 2016",Colorado,Aurora,E. Ohio Place and S. Buckley Road,1,0
112,"August 25, 2016",Tennessee,Parrottsville,Shenandoah Way,1,0
113,"August 25, 2016",South Carolina,Conway,Gilbert Road,1,0
114,"August 19, 2016",Texas,La Porte,9700 block of Wilmont Road.,1,0
115,"August 18, 2016",Montana,Belgrade,1005 Cardinal Dr,1,0
116,"August 15, 2016",Mississippi,Byhalia,95 Rebecca Drive,1,0
117,"August 15, 2016",Florida,Naples,1900 Tamiami Trail N,1,0
118,"August 14, 2016",Iowa,Garner,2194 Sioux Ave,1,0
119,"August 13, 2016",Virginia,Danville,800 block of Edmonds Street,1,0
120,"August 12, 2016",Pennsylvania,Mountville,17 West Main Street,1,0
121,"August 12, 2016",Virginia,Hampton,1800 block of Walkers Landing Lane,1,0
122,"August 11, 2016",Arizona,Phoenix,5102 W McDowell Rd,1,0
123,"August 11, 2016",Washington,Mount Vernon,315 E College Way,1,0
124,"August 10, 2016",Minnesota,Rochester,2nd Street and 14th Avenue SW,1,0
125,"August 9, 2016",Florida,Punta Gorda,1410 Tamiami Trail,1,0
126,"August 9, 2016",Pennsylvania,Philadelphia,540 N Percy St,1,0
127,"August 8, 2016",Tennessee,Hendersonville,118 Shady View Drive,1,0
128,"August 8, 2016",Pennsylvania,Philadelphia,2800 block of South 7th Street,1,0
129,"August 6, 2016",Indiana,Hammond,4700 block of Hohman Avenue,1,0
130,"August 6, 2016",Texas,Katy,6200 block of Towngate Circle,1,0
131,"August 6, 2016",North Carolina,Shelby,105 Lindsey Lee Ln,1,0
132,"August 6, 2016",Idaho,Weiser,Macomb Road,1,0
133,"August 5, 2016",Texas,Greenville,7701 Wesley Street,1,0
134,"August 5, 2016",Illinois,Chicago,2700 block of West Evergreen Avenue,1,0
135,"August 2, 2016",South Carolina,Coward,4312 Circle Drive,1,1
136,"August 2, 2016",Ohio,Columbus,400 block of East Markison Avenue,1,0
137,"August 2, 2016",Louisiana,Marrero,2000 block of Fernando Court,1,0
138,"August 1, 2016",Oklahoma,Ardmore,1200 block of L Street,1,0
139,"August 1, 2016",Pennsylvania,Allentown,1500 block of Arlington Avenue,1,0
140,"July 31, 2016",Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0
141,"July 31, 2016",Virginia,Saltville,400 block of Elizabeth Street,1,0
142,"July 30, 2016",New York,Elmira,200 block of West Hudson Street,1,0
143,"July 30, 2016",Texas,Beaumont,7395 Highway 105,1,0
144,"July 28, 2016",New Jersey,Pemberton Township,Bayberry Street,1,0
145,"July 26, 2016",Texas,Houston,9700 block of Shady Tree Ln,1,0
146,"July 26, 2016",Texas,San Antonio,3600 block of Callaghan Road,1,0
147,"July 25, 2016",Arizona,Tempe,1000 E Orange Street,1,0
148,"July 24, 2016",Kentucky,Frankfort,Pea Ridge Road,1,0
149,"July 24, 2016",Arkansas,Gurdon,200 block of Cedar Street,1,0
150,"July 22, 2016",Indiana,Huntingburg,202 N. Main St.,1,0
151,"July 20, 2016",Georgia,Jones (county),113 Horseshoe Bend Court,1,0
152,"July 19, 2016",Texas,Alvin,3400 block of Oxford,1,0
153,"July 18, 2016",South Carolina,Gaston,2400 block of Glenn Road,1,0
154,"July 17, 2016",Michigan,Rochester (Rochester Hills),1200 block of Lakeview Drive,1,0
155,"July 17, 2016",Georgia,Carrollton,Adamson Avenue,1,0
156,"July 16, 2016",Ohio,Cincinnati,6200 block of Chandler Street,1,0
157,"July 15, 2016",Florida,Tallahassee,2684 Tess Circle,1,0
158,"July 15, 2016",Texas,Houston,Sageland Drive,1,0
159,"July 15, 2016",Florida,Lake Worth,7400 block of Michigan Isle Road,1,0
160,"July 15, 2016",Florida,Tampa (Town N Country),8202 Pinehurst Circle,1,0
161,"July 15, 2016",Florida,Port Orange,829 Hudson Lane,1,0
162,"July 14, 2016",Alabama,Leighton,1500 block of Hwy 157,1,0
163,"July 14, 2016",Colorado,Steamboat Springs,,1,0
164,"July 13, 2016",Nebraska,Omaha,36th and Grand,1,0
165,"July 12, 2016",Pennsylvania,Berks (county),1st block of Chapel Lane,1,0
166,"July 11, 2016",Texas,Marion (county),Monica Drive,1,0
167,"July 9, 2016",Florida,Winter Haven,5463 Laurel Oak Drive,2,1
168,"July 8, 2016",Michigan,Alma,Penrith Avenue,1,0
169,"July 8, 2016",Texas,Mineral Wells,2600 block of S.W 8th Avenue,1,0
170,"July 7, 2016",Montana,Helena,1200 block of Bozeman Street,1,0
171,"July 6, 2016",Alabama,Toney,2500 block of Alabama 251,1,0
172,"July 6, 2016",Wisconsin,Brown (county),,1,0
173,"July 3, 2016",Florida,Sarasota,4583 Bee Ridge Road,1,0
174,"July 3, 2016",Tennessee,Chattanooga (East Ridge),201 Eads Street,1,0
175,"July 3, 2016",Kentucky,Lowmansville,July Drive,1,0
176,"July 2, 2016",California,Oakland,1400 block of Sunshine Court,1,1
177,"July 2, 2016",California,Lemoore,800 block of Dogwood Avenue,1,0
178,"July 1, 2016",Tennessee,Clarksville,874 Samantha Lane,1,0
179,"June 30, 2016",Washington,Manson,SR 150,1,0
180,"June 29, 2016",Pennsylvania,Philadelphia,5300 block of E Walnut Lane,1,0
181,"June 29, 2016",Kentucky,Lewisport,1370 S Chestnut Grove Rd,1,0
182,"June 28, 2016",Wisconsin,Milwaukee,28th Street and Capitol Drive,1,0
183,"June 28, 2016",Michigan,Roseville,25800 Gratiot Avenue,1,0
184,"June 28, 2016",Texas,San Antonio,8600 block of Star Creek Drive,1,0
185,"June 28, 2016",Massachusetts,Stoneham,Congress Street,1,0
186,"June 27, 2016",Arizona,Phoenix,1600 block of West Missouri Avenue,1,0
187,"June 25, 2016",New Jersey,East Orange,112 Norman Street,1,0
188,"June 24, 2016",Oklahoma,Delaware (county),,1,0
189,"June 23, 2016",Pennsylvania,Philadelphia,1800 block of N 20th Street,1,0
190,"June 22, 2016",Indiana,Indianapolis,3300 block of Wallace Avenue,1,0
191,"June 22, 2016",Georgia,Adel,800 block of Guy Street,1,0
192,"June 20, 2016",Colorado,Conejos (county),,1,0
193,"June 19, 2016",Texas,San Antonio,8800 block of  Village Drive.,1,1
194,"June 18, 2016",Ohio,Amelia,3023 Lindale Mt. Holly Rd,1,0
195,"June 17, 2016",Iowa,Elgin,210 Main Street,1,0
196,"June 17, 2016",Pennsylvania,Pittsburgh,4290 Melwood Ave,1,0
197,"June 13, 2016",West Virginia,Fairmont,Cleveland Avenue,1,0
198,"June 12, 2016",New York,Corona (Queens),45th Avenue and National Street,1,0
199,"June 11, 2016",Louisiana,Baton Rouge,3500 block of Wayne Avenue,1,0
200,"June 11, 2016",Texas,Dallas,13700 block of Montfort Drive,1,0
201,"June 8, 2016",Georgia,Calhoun,Dogwood Drive,1,0
202,"June 7, 2016",Michigan,Detroit,5300 block of Radnor,1,0
203,"June 6, 2016",Florida,Zellwood,2900 block of Winifred Road,1,0
204,"June 6, 2016",Georgia,Hawkinsville,18 Franklin Street,1,0
205,"June 6, 2016",Maryland,Annapolis,1300 block of Tyler Avenue,1,0
206,"June 3, 2016",California,Riverside (county),29200 block of Garnet,1,0
207,"June 3, 2016",Missouri,Saint Louis,9500 block of Page Ave,1,0
208,"June 3, 2016",Colorado,Aurora,1575 Galena Street,1,0
209,"June 3, 2016",Illinois,Chicago,3500 block of South Parnell Avenue,1,0
210,"June 2, 2016",Georgia,Rome,1249 Bells Ferry Road,1,0
211,"May 29, 2016",Arizona,Phoenix,,1,0
212,"May 27, 2016",Missouri,Joplin,1516 S. Byers Avenue,1,0
213,"May 27, 2016",California,Oakland,1300 block of Fruitvale Avenue,1,0
214,"May 26, 2016",Virginia,Roanoke,2000 block of Carroll Avenue NW,1,0
215,"May 25, 2016",Washington,Seattle,6000 block of High Point Drive SW,1,0
216,"May 24, 2016",Pennsylvania,Butler (county),Pine Tract Road,1,0
217,"May 24, 2016",Indiana,Gary,1400 block of Virginia Street,1,0
218,"May 22, 2016",Tennessee,Nashville,2700 block of Hydes Ferry Road,1,0
219,"May 21, 2016",Louisiana,La Place (Laplace),19 Country Club Dr,1,0
220,"May 20, 2016",Alabama,Horton,Welcome Home Church Road,1,0
221,"May 20, 2016",Illinois,Barry,186 E 2700th St,1,0
222,"May 19, 2016",New York,Bronx,810 Astor Avenue,1,0
223,"May 16, 2016",Florida,Sarasota,2400 block of 47th Street,1,0
224,"May 14, 2016",Florida,Alford,Compass Lake Drive,1,0
225,"May 13, 2016",Missouri,Branson,500 block of College,1,0
226,"May 12, 2016",Indiana,Lebanon,300 South 500 West,1,0
227,"May 12, 2016",Ohio,Hilliard,5100 block of Scioto Darby Road,1,0
228,"May 11, 2016",Montana,Lewis And Clark (county),Beaver Slide Loop,1,0
229,"May 11, 2016",Louisiana,Leesville,,1,0
230,"May 10, 2016",Michigan,Detroit,19700 block of Oakfield Street,1,0
231,"May 10, 2016",Louisiana,Shreveport,1100 block of Wilkinson Street,1,0
232,"May 9, 2016",California,Bell Gardens (Cudahy),4300 Clara St,1,0
233,"May 7, 2016",Iowa,Fayette (county),,1,0
234,"May 6, 2016",Arizona,Phoenix,11015 N. 11th Place,1,0
235,"May 1, 2016",Indiana,Indianapolis,Gale and Vermont,1,0
236,"April 30, 2016",Tennessee,Huntingdon,60 Hunter Ridge Cove,1,0
237,"April 30, 2016",Oregon,Medford,208 Iowa St.,1,0
238,"April 26, 2016",Georgia,Dallas,Camp Circle and Dallas Acworth Highway,1,0
239,"April 26, 2016",Wisconsin,Milwaukee,U.S. 41/Highway 175,1,0
240,"April 24, 2016",Kansas,Salina,1900 block of Dover,1,0
241,"April 23, 2016",Iowa,Maynard,,1,0
242,"April 22, 2016",Louisiana,Natchitoches,600 block of Sabine Alley,1,0
243,"April 22, 2016",Kansas,Wichita,1800 block of West McCormick,1,0
244,"April 21, 2016",Missouri,Kansas City,2600 block of Lawn Avenue,1,0
245,"April 20, 2016",Indiana,Indianapolis,5200 block of Alameda Road,1,0
246,"April 20, 2016",North Carolina,Wilmington,300 block of Grass Lane,1,0
247,"April 19, 2016",California,Sacramento,7800 block of Sunrise Greens Drive,1,0
248,"April 17, 2016",Wisconsin,Rock (county),2100 block of Lima Center Road,1,0
249,"April 16, 2016",Alaska,Sutton (Sutton-Alpine),Jonesville Mine Road,1,0
250,"April 16, 2016",Pennsylvania,Philadelphia,200 block of E. Mayfield Street,1,0
251,"April 15, 2016",Maryland,Temple Hills,5000 block of Sharon Road,1,2
252,"April 14, 2016",Kentucky,Louisville,900 block of W. Evelyn Avenue,1,0
253,"April 14, 2016",California,Victorville,13000 block of Bennington Drive,1,0
254,"April 12, 2016",Missouri,Saint Louis,8500 block of Riverview,1,0
255,"April 12, 2016",Texas,Waxahachie,200 block of Colt Drive,1,0
256,"April 11, 2016",Wisconsin,Friendship,,1,0
257,"April 10, 2016",North Carolina,Granite Falls,Baton Church Road,1,0
258,"April 9, 2016",Massachusetts,Beverly,Ropes Street,1,0
259,"April 8, 2016",Alabama,Montgomery,200 block of Southlawn Drive,1,0
260,"April 2, 2016",South Carolina,Rock Hill,800 block of Horseman Drive,1,0
261,"March 31, 2016",North Carolina,La Grange,Mimosa Lane and Maple Grove Dr,1,0
262,"March 30, 2016",Louisiana,New Orleans (Algiers),2100 block of Springbrook Lane,1,0
263,"March 28, 2016",Georgia,Douglas,900 block of South Coffee Avenue,1,0
264,"March 28, 2016",Alabama,Covington (county),County Road 21,1,0
265,"March 27, 2016",Mississippi,Brookhaven,Highway 550,1,0
266,"March 27, 2016",Vermont,Saint Albans,,1,0
267,"March 27, 2016",Illinois,Carbondale,402 West Walnut Street,1,1
268,"March 25, 2016",Hawaii,Mountain View,Oshiro Road,1,0
269,"March 24, 2016",Texas,San Antonio,100 block of West Ansley Boulevard,1,0
270,"March 24, 2016",Texas,Ennis,200  block of Arnold Street,1,0
271,"March 24, 2016",Missouri,Henley,6000 block of Upton Road,1,0
272,"March 21, 2016",Kentucky,Sharpsburg,95 Bethel Ridge Road,1,0
273,"March 20, 2016",Illinois,Chicago,4900 block of Aster Street,1,0
274,"March 20, 2016",Florida,Fort Myers,17483 Old Harmony Road,1,0
275,"March 20, 2016",Illinois,Chicago (Englewood),6700 block of S. Aberdeen St.,1,0
276,"March 20, 2016",Pennsylvania,Mount Pleasant,151 South Church St,1,0
277,"March 19, 2016",Florida,Apopka,1008 Sheeler Hills Drive,1,0
278,"March 19, 2016",Texas,Palestine,300 block of Anderson County Road 1370,1,0
279,"March 19, 2016",North Carolina,Fayetteville,400 block of Lands End Road,1,0
280,"March 18, 2016",New York,Copiague,Great Neck Road,1,0
281,"March 18, 2016",Iowa,Cedar Rapids,1424 Bever Ave. SE,1,0
282,"March 17, 2016",South Carolina,Bennettsville,Spencer Street,1,0
283,"March 17, 2016",Texas,San Antonio,4400 block of Hampstead Street,1,0
284,"March 16, 2016",West Virginia,Beckley,Hager Street,1,0
285,"March 15, 2016",Tennessee,Chattanooga,1206 Lewis Street,1,0
286,"March 14, 2016",Texas,Bridgeport,County Road 3825,1,0
287,"March 14, 2016",West Virginia,Beckley,Bethel Road,1,0
288,"March 14, 2016",Missouri,Kansas City,North Flora and Northeast 80th Street,1,0
289,"March 12, 2016",Texas,Paris,210 Stone Avenue,1,0
290,"March 12, 2016",Iowa,Oskaloosa,1593 290th Street,1,0
291,"March 11, 2016",Georgia,Norcross,4900 block of Appaloosa Trail,1,0
292,"March 9, 2016",Kentucky,Somerset,1610 Oak Hill Rd,1,0
293,"March 7, 2016",West Virginia,Morgantown,Church Hill Drive,1,0
294,"March 6, 2016",Mississippi,Laurel,County Road 237,1,0
295,"March 6, 2016",California,Studio City,3700 block of Eureka Drive,1,0
296,"March 5, 2016",South Dakota,Yankton,East Side Drive,1,0
297,"March 4, 2016",South Carolina,Rock Hill,600 block of Cauthen Street,1,1
298,"March 2, 2016",Hawaii,Makawao,80-90 block of Healani Street,1,0
299,"March 1, 2016",Texas,Corpus Christi,6300 block of Hanley Drive,1,0
300,"March 1, 2016",Florida,Sanford,Highlawn Avenue,1,0
301,"February 29, 2016",Tennessee,Apison,4724 Gates Lane,1,0
302,"February 28, 2016",Washington,Concrete,46000 block of Baker Loop Road,1,0
303,"February 28, 2016",Texas,San Antonio,9500 block of Perrin-Beitel Road,1,0
304,"February 27, 2016",Louisiana,Baton Rouge,7584 Prescott Drive,1,0
305,"February 27, 2016",Florida,Miami Gardens,2200 block of Northwest 172nd Terrace,1,0
306,"February 26, 2016",Indiana,Sunman,Van Wedding Road,1,0
307,"February 26, 2016",Iowa,Evansdale (Elk Run Heights),,1,0
308,"February 26, 2016",South Carolina,Clearwater,244 Park Drive,1,0
309,"February 23, 2016",Texas,Houston,1300 block of Regal Street,1,0
310,"February 23, 2016",Utah,Altamont,14535 W 4000 N,1,0
311,"February 22, 2016",Tennessee,Greeneville,400 Y St,1,0
312,"February 21, 2016",Florida,Fort Lauderdale,2300 block of Northwest Ninth Court,1,0
313,"February 21, 2016",Indiana,Hartsville,200 block of Clinton Street,1,0
314,"February 21, 2016",Florida,Fountain,11601 Nonawood Road,1,0
315,"February 21, 2016",Mississippi,Philadelphia,Highway 16 West Pearl River Resort - Choctaw,1,0
316,"February 20, 2016",Utah,Box Elder (county),Route 30,1,0
317,"February 20, 2016",Ohio,Cleveland,,1,0
318,"February 19, 2016",Louisiana,Baton Rouge,2138 Tennessee Street,1,0
319,"February 18, 2016",Louisiana,Baton Rouge,3811 Bradley Street,1,0
320,"February 17, 2016",Illinois,Chicago,7800 block of South Honore,1,0
321,"February 16, 2016",Texas,Lubbock,2538 71st St,1,0
322,"February 15, 2016",Michigan,Columbiaville,Peters Road and Flint River Road,1,0
323,"February 15, 2016",Vermont,Cuttingsville (Shrewsbury),6718 Cold River Road,1,0
324,"February 15, 2016",Michigan,Columbiaville,Peters and Flint River roads,1,0
325,"February 14, 2016",Michigan,Battle Creek,23 Highway Street,1,0
326,"February 13, 2016",Nevada,Las Vegas,Buffalo and Vegas Drive,1,0
327,"February 13, 2016",Wisconsin,Milwaukee,3000 block of West Wisconsin Avenue,1,0
328,"February 13, 2016",Ohio,Cincinnati,3262 Tulsa Court,1,0
329,"February 11, 2016",Maryland,Capitol Heights (Seat Pleasant),6700 block of James Farmer Way,1,0
330,"February 11, 2016",Georgia,Lawrenceville,1600 block of Balvaird Drive,1,0
331,"February 11, 2016",New York,Brooklyn,703 Miller Avenue,1,0
332,"February 8, 2016",Florida,Orlando,4700 block of Spottswood Drive,1,0
333,"February 6, 2016",Florida,Jacksonville,1100 block of East 15th Street,1,0
334,"February 6, 2016",Texas,El Indio,,1,0
335,"February 6, 2016",Alabama,Birmingham (Irondale),2000 block of Monroe Drive,1,0
336,"February 6, 2016",Georgia,Madison,1580 Aqua Road,1,1
337,"February 6, 2016",Tennessee,Nashville,4271 Sidco Drive,1,0
338,"February 5, 2016",Louisiana,Addis,3600 block of East Nic Drive,1,0
339,"February 5, 2016",Arizona,Tucson,3000 block of South La Cholla,1,0
340,"February 4, 2016",Iowa,Burlington,300-block of Angular Street,1,0
341,"February 3, 2016",Ohio,Cleveland (Brooklyn),Ridge Road,1,0
342,"January 31, 2016",Alaska,Fairbanks,Geraghty Avenue,1,0
343,"January 30, 2016",Nevada,Las Vegas,3867 Terrazzo Avenue,1,0
344,"January 30, 2016",Oklahoma,Hartshorne,Lakeview Drive,1,0
345,"January 30, 2016",Maryland,Baltimore,400 block of N. Athol Avenue,1,0
346,"January 30, 2016",Georgia,Atlanta,Meadowglen Village Lane,1,0
347,"January 29, 2016",Alabama,Hartselle,,1,0
348,"January 25, 2016",Texas,Baytown,4100 block of Tumbleweed,2,0
349,"January 25, 2016",Tennessee,Crossville,2009 N Main St,1,0
350,"January 25, 2016",Kentucky,White Plains,Farmers Crossing Road,1,0
351,"January 24, 2016",Missouri,Kennett,800 block of Emerson Street,1,0
352,"January 23, 2016",New York,Brooklyn,45th Street,1,0
353,"January 23, 2016",Alaska,Iliamna (Kokhanok),,1,0
354,"January 22, 2016",Florida,Delray Beach (West Delray Beach),8000 block of Sawpine Drive,1,0
355,"January 22, 2016",Arkansas,Little Rock,211 Dortch Loop,1,0
356,"January 22, 2016",Virginia,Williamsburg,1300 block of Richmond Road,1,0
357,"January 22, 2016",Arkansas,North Little Rock,200 block of Dortch Loop,1,0
358,"January 20, 2016",Michigan,Flint,1300 block of Columbia Lane,1,0
359,"January 20, 2016",Florida,Volusia (county),Maytown Road,1,0
360,"January 20, 2016",Indiana,Charlestown,Sycamore Drive and Cottonwood Lane,1,0
361,"January 20, 2016",Louisiana,New Orleans,5600 block of Red Maple Drive,1,0
362,"January 19, 2016",Texas,Liberty (county),County Road 4893,1,0
363,"January 19, 2016",Texas,Cypress,15400 block of Redbud Berry Way,1,0
364,"January 18, 2016",Washington,Spokane (Spokane Valley),14121 E. Sinto,1,0
365,"January 17, 2016",Missouri,Saint Louis (St Louis),5300 block of Patton Ave,1,0
366,"January 17, 2016",Kentucky,Louisville,43rd Street and Broadway,1,0
367,"January 16, 2016",Louisiana,Baton Rouge,1915 Birch Street,1,0
368,"January 16, 2016",Texas,Houston,5203 Dumfries Drive,1,0
369,"January 15, 2016",Louisiana,Pineville,810 Main Street,1,0
370,"January 14, 2016",Maine,Windham,Brookhaven Drive,1,0
371,"January 14, 2016",Pennsylvania,Hummelstown,200 block of West Main Street,1,0
372,"January 12, 2016",Ohio,Cincinnati,1200 block of Blanchard Avenue,1,0
373,"January 12, 2016",Ohio,Jackson,775 Spangenburg Road,1,0
374,"January 12, 2016",South Carolina,Lancaster,1800 block of John Everall Road,1,0
